Address,Type,Price,Bedrooms,Bathrooms,SquareFeet,YearBuilt,Features,Description
123 Main Street - Downtown,House,450000,3,2,2000,1995,"Garage, Backyard, Patio, Garden","Beautiful family home in quiet neighborhood with large backyard perfect for entertaining guests and family gatherings."
456 Oak Avenue - Suburbs,Apartment,350000,2,1.5,1200,2005,"Pool Access, Balcony, Gym, Parking","Modern apartment with great amenities and close to downtown shopping and dining. Pet friendly building."
789 Pine Road - Hillside,House,550000,4,3,3000,1988,"Pool, Patio, Garden, Garage, Workshop","Spacious house on hilltop with panoramic views, ideal for families seeking luxury and privacy."
321 Elm Street - Downtown,Condo,425000,2,2,1500,2015,"Rooftop Terrace, Doorman, Concierge, Gym","Trendy condo in heart of city, walk to restaurants, shops, and entertainment venues."
654 Birch Lane - Suburbs,House,480000,3,2.5,2200,2001,"Workshop, Large Lot, Deck, Storage","Charming suburban home with large property, perfect for gardening enthusiasts and outdoor activities."
987 Cedar Drive - Waterfront,House,750000,5,4,4000,1990,"Waterfront View, Pool, Boat Access, Garage, Patio","Stunning waterfront property with boat access, pool, and private beach. Premium location."
147 Maple Court - Downtown,Condo,380000,2,1,950,2010,"Balcony, Gym, Parking, Security","Compact but modern condo perfect for young professionals or investors in downtown area."
258 Spruce Lane - Suburbs,House,520000,4,3,2800,2005,"Guest House, Pool, Large Garage, Workshop","Excellent investment opportunity with guest house potential and large workshop for hobbies."
369 Ash Road - Hillside,Apartment,320000,1,1,800,2015,"Gym, Rooftop, Parking, Modern Kitchen","Cozy modern apartment with stunning city views and contemporary amenities."
741 Juniper Street - Downtown,House,485000,3,2.5,2100,1998,"Patio, Garage, Garden, Updated Kitchen","Recently renovated with modern kitchen and upgraded systems. Great investment potential."
852 Hemlock Drive - Suburbs,Condo,395000,2,2,1400,2008,"Community Amenities, Parking, Security","Secure condo in well-maintained community with excellent amenities and low maintenance."
963 Willow Lane - Waterfront,House,680000,4,3.5,3500,2000,"Waterfront Access, Deck, Pool, Garage","Beautiful waterfront property with direct beach access and relaxing outdoor living spaces."
159 Sycamore Road - Hillside,House,510000,3,2,2050,1996,"Views, Patio, Garage, Landscaped Yard","Excellent views with professionally landscaped yard and recent exterior updates."
753 Poplar Avenue - Downtown,Apartment,340000,2,1.5,1100,2012,"Gym, Balcony, Parking, Pet Friendly","Pet-friendly apartment in desirable downtown location with good walking routes."
864 Oak Ridge Drive - Suburbs,House,545000,4,3,2900,2003,"Estate Property, Large Lot, Pool, Workshop","Large estate-style property on 2-acre lot, perfect for those seeking privacy and space."
